# timestamp,rotor_speed
2009-01-01 00:00:00 PST,365.5046564
2009-01-01 00:00:01 PST,365.5046545
2009-01-01 00:00:02 PST,365.5046545
2009-01-01 00:00:03 PST,365.5046545
2009-01-01 00:00:04 PST,365.5046545
2009-01-01 00:00:05.000000 PST,365.5046545
2009-01-01 00:00:05.000200 PST,365.5046545
2009-01-01 00:00:05.000400 PST,365.5046545
2009-01-01 00:00:05.000600 PST,365.5046545
2009-01-01 00:00:05.000800 PST,365.5046545
2009-01-01 00:00:05.001000 PST,365.5046545
2009-01-01 00:00:05.001200 PST,365.5046545
2009-01-01 00:00:05.001400 PST,365.5046545
2009-01-01 00:00:05.001600 PST,365.5046545
2009-01-01 00:00:05.001800 PST,365.5046545
2009-01-01 00:00:05.002000 PST,365.5046545
2009-01-01 00:00:05.002200 PST,365.5046545
2009-01-01 00:00:05.002400 PST,365.5046545
2009-01-01 00:00:05.002600 PST,365.5046545
2009-01-01 00:00:05.002800 PST,365.5046545
2009-01-01 00:00:05.003000 PST,365.5046545
2009-01-01 00:00:05.003200 PST,365.5046545
2009-01-01 00:00:05.003400 PST,365.5046545
2009-01-01 00:00:05.003600 PST,365.5046545
2009-01-01 00:00:05.003800 PST,365.5046545
2009-01-01 00:00:05.004000 PST,365.5046545
2009-01-01 00:00:05.004200 PST,365.5046545
2009-01-01 00:00:05.004400 PST,365.5046545
2009-01-01 00:00:05.004600 PST,365.5046545
2009-01-01 00:00:05.004800 PST,365.5046545
2009-01-01 00:00:05.005000 PST,365.5046545
2009-01-01 00:00:05.005200 PST,365.5046545
2009-01-01 00:00:05.005400 PST,365.5046545
2009-01-01 00:00:05.005600 PST,365.5046545
2009-01-01 00:00:05.005800 PST,365.5046545
2009-01-01 00:00:05.006000 PST,365.5046545
2009-01-01 00:00:05.006200 PST,365.5046545
2009-01-01 00:00:05.006400 PST,365.5046545
2009-01-01 00:00:05.006600 PST,365.5046545
2009-01-01 00:00:05.006800 PST,365.5046545
2009-01-01 00:00:05.007000 PST,365.5046545
2009-01-01 00:00:05.007200 PST,365.5046545
2009-01-01 00:00:05.007400 PST,365.5046545
2009-01-01 00:00:05.007600 PST,365.5046545
2009-01-01 00:00:05.007800 PST,365.5046545
2009-01-01 00:00:05.008000 PST,365.5046545
2009-01-01 00:00:05.008200 PST,365.5046545
2009-01-01 00:00:05.008400 PST,365.5046545
2009-01-01 00:00:05.008600 PST,365.5046545
2009-01-01 00:00:05.008800 PST,365.5046545
2009-01-01 00:00:05.009000 PST,365.5046545
2009-01-01 00:00:05.009200 PST,365.5046545
2009-01-01 00:00:05.009400 PST,365.5046545
2009-01-01 00:00:05.009600 PST,365.5046545
2009-01-01 00:00:05.009800 PST,365.5046545
2009-01-01 00:00:05.010000 PST,365.5046545
2009-01-01 00:00:05.010200 PST,365.5046545
2009-01-01 00:00:05.010400 PST,365.5046545
2009-01-01 00:00:05.010600 PST,365.5046545
2009-01-01 00:00:05.010800 PST,365.5046545
